Container, CPU %, Memory Usage

98e9f43aaf2e,0.97%,36.74MiB / 7.76GiB
abaeddab8d9e,0.95%,36.74MiB / 7.76GiB
611e108ea814,0.03%,12.21MiB / 7.76GiB
9619db217e8a,3.94%,47.79MiB / 7.76GiB
f0010777d61f,0.00%,8.172MiB / 7.76GiB
108350e8ced2,0.00%,8.336MiB / 7.76GiB
327840b80c39,0.32%,47.09MiB / 7.76GiB
c32c10ccb2a3,96.56%,89.73MiB / 7.76GiB
afb71f2fe92b,97.15%,123MiB / 7.76GiB
98e9f43aaf2e,0.76%,48.38MiB / 7.76GiB
abaeddab8d9e,1.01%,44.55MiB / 7.76GiB
611e108ea814,0.04%,14.73MiB / 7.76GiB
9619db217e8a,0.28%,49.86MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,0.30%,48.48MiB / 7.76GiB
98e9f43aaf2e,2.05%,98.31MiB / 7.76GiB
abaeddab8d9e,2.92%,98.93MiB / 7.76GiB
611e108ea814,0.10%,14.73MiB / 7.76GiB
9619db217e8a,0.83%,50.04MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.01%,8.363MiB / 7.76GiB
327840b80c39,0.46%,48.54MiB / 7.76GiB
b2804c481727,86.76%,59.57MiB / 7.76GiB
1bff683c19c3,106.76%,100.5MiB / 7.76GiB
8d6463309a58,0.00%,5.727MiB / 2GiB
d5f94417270e,0.00%,5.742MiB / 2GiB
98e9f43aaf2e,0.92%,99.68MiB / 7.76GiB
abaeddab8d9e,1.15%,100.3MiB / 7.76GiB
611e108ea814,0.04%,14.75MiB / 7.76GiB
9619db217e8a,0.42%,51.12MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,0.40%,49.76MiB / 7.76GiB
577d84ba4d9b,93.86%,110.8MiB / 7.76GiB
3316ccef5838,98.69%,120.1MiB / 7.76GiB
b966efad2152,0.00%,6.297MiB / 2GiB
cfdac2189cce,0.01%,5.789MiB / 2GiB
8d6463309a58,0.00%,5.727MiB / 2GiB
d5f94417270e,0.00%,5.742MiB / 2GiB
98e9f43aaf2e,1.38%,125.1MiB / 7.76GiB
abaeddab8d9e,0.78%,125MiB / 7.76GiB
611e108ea814,0.06%,14.76MiB / 7.76GiB
9619db217e8a,0.29%,51.29MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,0.19%,50.2MiB / 7.76GiB
b966efad2152,0.00%,6.297MiB / 2GiB
cfdac2189cce,0.00%,5.793MiB / 2GiB
8d6463309a58,0.00%,5.727MiB / 2GiB
d5f94417270e,0.00%,5.742MiB / 2GiB
98e9f43aaf2e,1.91%,144.9MiB / 7.76GiB
abaeddab8d9e,1.99%,150.7MiB / 7.76GiB
611e108ea814,0.05%,14.76MiB / 7.76GiB
9619db217e8a,0.60%,51.4MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,2.63%,50.25MiB / 7.76GiB
58c218903094,188.21%,93.08MiB / 7.76GiB
a24a7ee392ce,167.05%,99.41MiB / 7.76GiB
7605622b1df7,0.00%,5.723MiB / 2GiB
62d77d0592be,0.00%,6.738MiB / 2GiB
b966efad2152,0.00%,6.297MiB / 2GiB
cfdac2189cce,0.00%,5.793MiB / 2GiB
8d6463309a58,0.00%,5.727MiB / 2GiB
d5f94417270e,0.00%,5.742MiB / 2GiB
98e9f43aaf2e,1.22%,145MiB / 7.76GiB
abaeddab8d9e,1.10%,151.6MiB / 7.76GiB
611e108ea814,0.09%,14.77MiB / 7.76GiB
9619db217e8a,3.31%,51.61MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,0.46%,50.3MiB / 7.76GiB
58c218903094,179.17%,56.1MiB / 7.76GiB
a24a7ee392ce,213.97%,115.4MiB / 7.76GiB
7605622b1df7,0.00%,5.77MiB / 2GiB
62d77d0592be,0.00%,6.738MiB / 2GiB
b966efad2152,0.00%,6.297MiB / 2GiB
cfdac2189cce,0.00%,5.793MiB / 2GiB
8d6463309a58,0.00%,5.809MiB / 2GiB
d5f94417270e,0.00%,5.793MiB / 2GiB
98e9f43aaf2e,2.07%,145MiB / 7.76GiB
abaeddab8d9e,2.55%,151.8MiB / 7.76GiB
611e108ea814,0.17%,14.77MiB / 7.76GiB
9619db217e8a,0.66%,51.71MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,0.46%,50.34MiB / 7.76GiB
58c218903094,213.23%,132.4MiB / 7.76GiB
a24a7ee392ce,189.85%,115.7MiB / 7.76GiB
7605622b1df7,0.00%,5.77MiB / 2GiB
62d77d0592be,0.00%,6.738MiB / 2GiB
b966efad2152,0.01%,6.34MiB / 2GiB
cfdac2189cce,0.06%,5.836MiB / 2GiB
8d6463309a58,0.00%,5.809MiB / 2GiB
d5f94417270e,0.00%,5.793MiB / 2GiB
98e9f43aaf2e,1.02%,145MiB / 7.76GiB
abaeddab8d9e,1.14%,151.9MiB / 7.76GiB
611e108ea814,0.08%,14.77MiB / 7.76GiB
9619db217e8a,0.48%,51.81MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,6.14%,50.4MiB / 7.76GiB
58c218903094,180.53%,474.2MiB / 7.76GiB
a24a7ee392ce,174.11%,417.9MiB / 7.76GiB
7605622b1df7,0.00%,5.77MiB / 2GiB
62d77d0592be,0.00%,6.738MiB / 2GiB
b966efad2152,0.00%,6.34MiB / 2GiB
cfdac2189cce,0.00%,5.836MiB / 2GiB
8d6463309a58,0.01%,5.809MiB / 2GiB
d5f94417270e,0.02%,5.793MiB / 2GiB
98e9f43aaf2e,1.68%,145MiB / 7.76GiB
abaeddab8d9e,3.60%,151.9MiB / 7.76GiB
611e108ea814,0.11%,14.77MiB / 7.76GiB
9619db217e8a,0.82%,51.8MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,4.88%,50.4MiB / 7.76GiB
7605622b1df7,0.00%,5.809MiB / 2GiB
62d77d0592be,0.00%,6.781MiB / 2GiB
b966efad2152,0.00%,6.34MiB / 2GiB
cfdac2189cce,0.00%,5.836MiB / 2GiB
8d6463309a58,0.00%,5.809MiB / 2GiB
d5f94417270e,0.00%,5.793MiB / 2GiB
98e9f43aaf2e,1.15%,145MiB / 7.76GiB
abaeddab8d9e,4.88%,151.9MiB / 7.76GiB
611e108ea814,0.08%,14.77MiB / 7.76GiB
9619db217e8a,0.43%,51.79MiB / 7.76GiB
f0010777d61f,0.00%,8.207MiB / 7.76GiB
108350e8ced2,0.00%,8.363MiB / 7.76GiB
327840b80c39,1.49%,50.4MiB / 7.76GiB
4f72e2c94051,0.00%,5.586MiB / 2GiB
8e61b3a648ed,0.02%,6.656MiB / 2GiB
7605622b1df7,0.00%,5.809MiB / 2GiB
62d77d0592be,0.00%,6.781MiB / 2GiB
b966efad2152,0.00%,6.34MiB / 2GiB
cfdac2189cce,0.00%,5.836MiB / 2GiB
8d6463309a58,0.00%,5.848MiB / 2GiB
d5f94417270e,0.00%,5.84MiB / 2GiB
98e9f43aaf2e,1.07%,145MiB / 7.76GiB
abaeddab8d9e,1.12%,151.9MiB / 7.76GiB
611e108ea814,0.08%,14.77MiB / 7.76GiB
9619db217e8a,2.03%,51.94MiB / 7.76GiB
f0010777d61f,0.00%,4.918MiB / 7.76GiB
108350e8ced2,0.00%,6.258MiB / 7.76GiB
327840b80c39,0.44%,50.46MiB / 7.76GiB
f0010777d61f,0.00%,4.918MiB / 7.76GiB
108350e8ced2,0.00%,6.258MiB / 7.76GiB
ab29edcd0b40,0.99%,43.66MiB / 7.76GiB
9ca5bfe9fb66,0.96%,10.86MiB / 7.76GiB
b96281562590,0.05%,14.51MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.863MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,2.08%,49.34MiB / 7.76GiB
28fc4e610148,0.41%,48.56MiB / 7.76GiB
5acd722ef10e,101.73%,423.6MiB / 7.76GiB
7f04d0f66695,97.40%,450.4MiB / 7.76GiB
ab29edcd0b40,0.93%,44.42MiB / 7.76GiB
9ca5bfe9fb66,0.79%,11.56MiB / 7.76GiB
b96281562590,0.06%,14.51MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.863MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,1.25%,49.6MiB / 7.76GiB
28fc4e610148,0.39%,49.06MiB / 7.76GiB
c355d0452da9,225.36%,64.48MiB / 7.76GiB
5e6242e172a2,153.70%,34.77MiB / 7.76GiB
2aa9c99a8a38,0.00%,5.887MiB / 2GiB
a90092710422,0.00%,5.844MiB / 2GiB
ab29edcd0b40,1.13%,100.5MiB / 7.76GiB
9ca5bfe9fb66,1.83%,67.42MiB / 7.76GiB
b96281562590,0.09%,14.53MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.863MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,3.69%,50.28MiB / 7.76GiB
28fc4e610148,5.21%,49.69MiB / 7.76GiB
c355d0452da9,184.63%,93.36MiB / 7.76GiB
5e6242e172a2,174.60%,102.8MiB / 7.76GiB
2aa9c99a8a38,0.00%,5.887MiB / 2GiB
a90092710422,0.00%,5.844MiB / 2GiB
ab29edcd0b40,1.72%,100.6MiB / 7.76GiB
9ca5bfe9fb66,1.48%,67.47MiB / 7.76GiB
b96281562590,0.10%,14.53MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.863MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,9.07%,50.35MiB / 7.76GiB
28fc4e610148,2.91%,49.82MiB / 7.76GiB
c355d0452da9,200.04%,69.88MiB / 7.76GiB
5e6242e172a2,183.96%,91.35MiB / 7.76GiB
2aa9c99a8a38,0.00%,5.887MiB / 2GiB
a90092710422,0.00%,5.844MiB / 2GiB
ab29edcd0b40,3.13%,100.7MiB / 7.76GiB
9ca5bfe9fb66,1.11%,67.6MiB / 7.76GiB
b96281562590,0.10%,14.57MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.64%,50.46MiB / 7.76GiB
28fc4e610148,3.81%,50.1MiB / 7.76GiB
2aa9c99a8a38,0.00%,5.934MiB / 2GiB
a90092710422,0.00%,5.887MiB / 2GiB
ab29edcd0b40,162.47%,116.4MiB / 7.76GiB
9ca5bfe9fb66,157.51%,83.4MiB / 7.76GiB
b96281562590,0.11%,14.57MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,6.87%,50.49MiB / 7.76GiB
28fc4e610148,0.41%,50.13MiB / 7.76GiB
2aa9c99a8a38,0.00%,5.934MiB / 2GiB
a90092710422,0.00%,5.887MiB / 2GiB
ab29edcd0b40,1.60%,117MiB / 7.76GiB
9ca5bfe9fb66,3.12%,83.39MiB / 7.76GiB
b96281562590,0.16%,14.57MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.17%,50.53MiB / 7.76GiB
28fc4e610148,4.95%,50.17MiB / 7.76GiB
b6a6dddbbbbe,0.00%,0B / 0B
ba623d74f92e,0.00%,0B / 0B
d4985b8bd713,186.27%,50.45MiB / 7.76GiB
8b9039792f4e,186.72%,56.93MiB / 7.76GiB
ba623d74f92e,0.00%,6.688MiB / 2GiB
b6a6dddbbbbe,0.00%,6.484MiB / 2GiB
2aa9c99a8a38,0.00%,5.934MiB / 2GiB
a90092710422,0.00%,5.887MiB / 2GiB
ab29edcd0b40,3.63%,117.3MiB / 7.76GiB
9ca5bfe9fb66,1.22%,83.71MiB / 7.76GiB
b96281562590,0.17%,14.58MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.45%,50.66MiB / 7.76GiB
28fc4e610148,0.83%,50.66MiB / 7.76GiB
ba623d74f92e,0.00%,6.688MiB / 2GiB
b6a6dddbbbbe,0.00%,6.484MiB / 2GiB
2aa9c99a8a38,0.00%,5.934MiB / 2GiB
a90092710422,0.00%,5.887MiB / 2GiB
ab29edcd0b40,0.84%,150.7MiB / 7.76GiB
9ca5bfe9fb66,0.83%,118.1MiB / 7.76GiB
b96281562590,0.04%,14.58MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.23%,50.73MiB / 7.76GiB
28fc4e610148,2.43%,50.73MiB / 7.76GiB
a3b23125ee4d,101.07%,155.5MiB / 7.76GiB
dfeb397949b1,89.82%,64.72MiB / 7.76GiB
54274904cbaf,0.00%,5.711MiB / 2GiB
f8adf8f5cf61,0.00%,5.977MiB / 2GiB
ba623d74f92e,0.00%,6.688MiB / 2GiB
b6a6dddbbbbe,0.00%,6.484MiB / 2GiB
2aa9c99a8a38,0.00%,5.934MiB / 2GiB
a90092710422,0.00%,5.887MiB / 2GiB
ab29edcd0b40,1.09%,150.7MiB / 7.76GiB
9ca5bfe9fb66,0.80%,119.5MiB / 7.76GiB
b96281562590,0.05%,14.58MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.32%,50.99MiB / 7.76GiB
28fc4e610148,0.18%,51.09MiB / 7.76GiB
54274904cbaf,0.00%,5.711MiB / 2GiB
f8adf8f5cf61,0.00%,5.977MiB / 2GiB
ba623d74f92e,0.00%,6.73MiB / 2GiB
b6a6dddbbbbe,0.00%,6.531MiB / 2GiB
2aa9c99a8a38,0.00%,5.98MiB / 2GiB
a90092710422,0.00%,5.934MiB / 2GiB
ab29edcd0b40,5.68%,181.7MiB / 7.76GiB
9ca5bfe9fb66,7.26%,150.1MiB / 7.76GiB
b96281562590,0.07%,14.58MiB / 7.76GiB
c9ba00ada6c4,0.00%,7.906MiB / 7.76GiB
33d1031b8379,0.00%,8.324MiB / 7.76GiB
951466306a04,0.46%,50.99MiB / 7.76GiB
28fc4e610148,0.85%,51.12MiB / 7.76GiB
8ae5850c495d,0.00%,6.555MiB / 2GiB
b6797dd734b0,0.00%,6.465MiB / 2GiB
54274904cbaf,0.00%,5.711MiB / 2GiB
f8adf8f5cf61,0.00%,5.977MiB / 2GiB
ba623d74f92e,0.00%,6.73MiB / 2GiB
b6a6dddbbbbe,0.00%,6.531MiB / 2GiB
2aa9c99a8a38,0.00%,5.98MiB / 2GiB
a90092710422,0.00%,5.934MiB / 2GiB
ab29edcd0b40,1.08%,181.7MiB / 7.76GiB
9ca5bfe9fb66,0.87%,150.8MiB / 7.76GiB
b96281562590,0.09%,14.59MiB / 7.76GiB
c9ba00ada6c4,0.00%,4.867MiB / 7.76GiB
33d1031b8379,0.00%,7.188MiB / 7.76GiB
951466306a04,9.80%,51.5MiB / 7.76GiB
28fc4e610148,5.48%,51.18MiB / 7.76GiB
8ae5850c495d,0.01%,6.555MiB / 2GiB
b6797dd734b0,0.01%,6.465MiB / 2GiB
54274904cbaf,0.00%,5.754MiB / 2GiB
f8adf8f5cf61,0.00%,6.066MiB / 2GiB
ba623d74f92e,0.00%,6.73MiB / 2GiB
b6a6dddbbbbe,0.00%,6.531MiB / 2GiB
2aa9c99a8a38,16.50%,19.25MiB / 2GiB
a90092710422,4.48%,19.14MiB / 2GiB
ab29edcd0b40,29.33%,202.7MiB / 7.76GiB
9ca5bfe9fb66,87.54%,170.1MiB / 7.76GiB
b96281562590,0.09%,14.59MiB / 7.76GiB
c9ba00ada6c4,0.00%,4.863MiB / 7.76GiB
33d1031b8379,0.00%,7.184MiB / 7.76GiB
951466306a04,106.56%,650.2MiB / 7.76GiB
28fc4e610148,114.33%,436.4MiB / 7.76GiB

3695bf9d295f,1.18%,36.7MiB / 7.76GiB
e65e67f5865a,0.93%,36.95MiB / 7.76GiB
b9e01ec57e68,0.03%,13.79MiB / 7.76GiB
adaa577ed7b7,0.00%,10.64MiB / 7.76GiB
89e51d54c17d,0.28%,47.05MiB / 7.76GiB
06339163ed5c,0.00%,8.242MiB / 7.76GiB
cb8ba8a3381f,0.16%,47.74MiB / 7.76GiB
0d341e9b68c2,181.93%,54.54MiB / 7.76GiB
e56482fa95e6,224.63%,33.13MiB / 7.76GiB
3695bf9d295f,1.03%,48.59MiB / 7.76GiB
e65e67f5865a,1.35%,44.53MiB / 7.76GiB
b9e01ec57e68,0.09%,14.96MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,0.47%,49.01MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.49%,49.16MiB / 7.76GiB
0d341e9b68c2,189.02%,100.1MiB / 7.76GiB
e56482fa95e6,213.83%,107.1MiB / 7.76GiB
3695bf9d295f,1.75%,48.79MiB / 7.76GiB
e65e67f5865a,0.86%,44.53MiB / 7.76GiB
b9e01ec57e68,0.28%,14.96MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,5.90%,49.05MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.81%,49.26MiB / 7.76GiB
3695bf9d295f,1.09%,99.05MiB / 7.76GiB
e65e67f5865a,1.09%,99.94MiB / 7.76GiB
b9e01ec57e68,0.05%,14.96MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,0.64%,49.23MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.33%,49.5MiB / 7.76GiB
039c62df7e05,0.00%,5.84MiB / 2GiB
1a616c88fc02,0.00%,5.703MiB / 2GiB
3695bf9d295f,0.89%,99.76MiB / 7.76GiB
e65e67f5865a,0.92%,100.8MiB / 7.76GiB
b9e01ec57e68,0.07%,14.97MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,0.47%,49.84MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.29%,49.99MiB / 7.76GiB
0466071fa69a,190.69%,103.4MiB / 7.76GiB
bef45605977e,204.85%,100.2MiB / 7.76GiB
9a056fc807af,0.00%,6.719MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.766MiB / 2GiB
039c62df7e05,0.00%,5.84MiB / 2GiB
1a616c88fc02,0.00%,5.703MiB / 2GiB
3695bf9d295f,0.87%,124.3MiB / 7.76GiB
e65e67f5865a,1.22%,125.4MiB / 7.76GiB
b9e01ec57e68,0.10%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,0.72%,50.12MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.44%,50.16MiB / 7.76GiB
0466071fa69a,179.77%,62.05MiB / 7.76GiB
bef45605977e,200.71%,64.26MiB / 7.76GiB
9a056fc807af,0.00%,6.719MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.766MiB / 2GiB
039c62df7e05,0.00%,5.84MiB / 2GiB
1a616c88fc02,0.00%,5.703MiB / 2GiB
3695bf9d295f,4.70%,124.3MiB / 7.76GiB
e65e67f5865a,2.72%,125.5MiB / 7.76GiB
b9e01ec57e68,0.09%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,1.50%,50.2MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.83%,50.23MiB / 7.76GiB
0466071fa69a,166.94%,134.4MiB / 7.76GiB
bef45605977e,189.57%,134.6MiB / 7.76GiB
9a056fc807af,0.00%,6.719MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.766MiB / 2GiB
039c62df7e05,0.00%,5.879MiB / 2GiB
1a616c88fc02,0.00%,5.746MiB / 2GiB
3695bf9d295f,4.16%,124.3MiB / 7.76GiB
e65e67f5865a,1.11%,125.6MiB / 7.76GiB
b9e01ec57e68,0.10%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,6.97%,50.56MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,6.29%,50.27MiB / 7.76GiB
0466071fa69a,183.20%,199.8MiB / 7.76GiB
bef45605977e,171.35%,441.5MiB / 7.76GiB
9a056fc807af,0.00%,6.719MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.766MiB / 2GiB
039c62df7e05,0.00%,5.879MiB / 2GiB
1a616c88fc02,0.00%,5.746MiB / 2GiB
3695bf9d295f,0.82%,124.3MiB / 7.76GiB
e65e67f5865a,0.84%,125.7MiB / 7.76GiB
b9e01ec57e68,0.07%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,1.94%,50.79MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.42%,50.3MiB / 7.76GiB
9a056fc807af,0.00%,6.762MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.809MiB / 2GiB
039c62df7e05,0.00%,5.879MiB / 2GiB
1a616c88fc02,0.00%,5.746MiB / 2GiB
3695bf9d295f,2.54%,144.1MiB / 7.76GiB
e65e67f5865a,1.59%,125.7MiB / 7.76GiB
b9e01ec57e68,1.19%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,3.35%,50.97MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,0.40%,50.32MiB / 7.76GiB
307a112d458f,207.33%,41.16MiB / 7.76GiB
dcc2f0b076c7,199.00%,54.12MiB / 7.76GiB
9d3efb34ff0f,0.00%,6.637MiB / 2GiB
053ab77ab984,0.00%,5.938MiB / 2GiB
9a056fc807af,0.00%,6.762MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.809MiB / 2GiB
039c62df7e05,0.00%,5.879MiB / 2GiB
1a616c88fc02,0.00%,5.746MiB / 2GiB
3695bf9d295f,0.98%,144.2MiB / 7.76GiB
e65e67f5865a,3.68%,125.8MiB / 7.76GiB
b9e01ec57e68,0.38%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,10.71MiB / 7.76GiB
89e51d54c17d,0.80%,50.96MiB / 7.76GiB
06339163ed5c,0.00%,8.27MiB / 7.76GiB
cb8ba8a3381f,8.74%,50.4MiB / 7.76GiB
307a112d458f,227.77%,75.26MiB / 7.76GiB
dcc2f0b076c7,168.05%,98.14MiB / 7.76GiB
9d3efb34ff0f,0.01%,6.637MiB / 2GiB
053ab77ab984,0.01%,5.938MiB / 2GiB
9a056fc807af,0.01%,6.762MiB / 2GiB
b5b9f5fc3a1e,1.17%,6.809MiB / 2GiB
039c62df7e05,0.00%,5.879MiB / 2GiB
1a616c88fc02,0.00%,5.746MiB / 2GiB
3695bf9d295f,0.98%,144.2MiB / 7.76GiB
e65e67f5865a,4.08%,125.8MiB / 7.76GiB
b9e01ec57e68,0.20%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,5.402MiB / 7.76GiB
89e51d54c17d,0.63%,50.99MiB / 7.76GiB
06339163ed5c,0.00%,6.195MiB / 7.76GiB
cb8ba8a3381f,5.45%,50.41MiB / 7.76GiB
73bb4e3e6fc2,0.00%,5.918MiB / 2GiB
a3b2397895bd,0.00%,5.848MiB / 2GiB
9d3efb34ff0f,0.00%,6.637MiB / 2GiB
053ab77ab984,0.00%,5.938MiB / 2GiB
9a056fc807af,0.00%,6.762MiB / 2GiB
b5b9f5fc3a1e,0.00%,6.809MiB / 2GiB
039c62df7e05,0.00%,5.922MiB / 2GiB
1a616c88fc02,0.00%,5.789MiB / 2GiB
3695bf9d295f,1.00%,169MiB / 7.76GiB
e65e67f5865a,1.05%,151.2MiB / 7.76GiB
b9e01ec57e68,0.07%,14.98MiB / 7.76GiB
adaa577ed7b7,0.00%,5.402MiB / 7.76GiB
89e51d54c17d,0.28%,51.06MiB / 7.76GiB
06339163ed5c,0.00%,6.195MiB / 7.76GiB
cb8ba8a3381f,0.27%,50.42MiB / 7.76GiB
adaa577ed7b7,0.00%,5.402MiB / 7.76GiB
06339163ed5c,0.00%,6.195MiB / 7.76GiB
